Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28)
6.092491319578219e-06,0.11507686315745506,0.0,0.0,0.0,0.0,0.9741935292655789,0.0004449470080788301,0.00019281348884470458,0.0011677347315309512,0.0001138809872374476,0.02476435862189945,0.024305695739705754,2.32142411187673e-08,2.605337488956132e-07,4.2661597647121364e-05,2.829151636088651e-11,3.864105631598341e-10
6.161980529421025e-06,0.11512424257922445,0.0,0.0,0.0,0.0,0.9737641083232751,0.00044479267357931245,0.00019324767859042605,0.0011849219153698247,0.00011394186695818088,0.02518336041585165,0.02471922442009406,2.358924432309798e-08,2.6548113944303097e-07,4.412459294764047e-05,2.926171941754448e-11,4.00295596430424e-10
6.231469739263831e-06,0.11517160659759518,0.0,0.0,0.0,0.0,0.9733348556940009,0.0004446415577538376,0.00019366928224452714,0.0012021012918345707,0.00011399531196953841,0.025602184167710196,0.025132625606152575,2.396367621878582e-08,2.70428594790614e-07,4.561219805805971e-05,3.024824279496424e-11,4.1441646072074625e-10
6.300958949106638e-06,0.11521895233310224,0.0,0.0,0.0,0.0,0.9729057969161066,0.0004444938093748802,0.00019407898804083438,0.0012192726446730525,0.00011404178049245421,0.026020803781087228,0.025545873231799063,2.4337531613170938e-08,2.7537596712974936e-07,4.7124316679827663e-05,3.125102263149865e-11,4.2877205990191327e-10
6.370448158949444e-06,0.11526627709944137,0.0,0.0,0.0,0.0,0.9724769558516451,0.0004443495474707851,0.00019447744766278998,0.001236435785321641,0.00011408170513981666,0.026439194873471406,0.02595894292549892,2.4710804953043166e-08,2.8032313346742263e-07,4.8660852489197525e-05,3.2269995048821646e-11,4.4336132021617155e-10
6.43993736879225e-06,0.11531357837753901,0.0,0.0,0.0,0.0,0.972048354781399,0.00044420886422576026,0.00019486527793725572,0.0012535905505372197,0.00011411549416948424,0.0268573346791156,0.02637181191480967,2.5083489616911295e-08,2.8526999382057035e-07,5.022170926512563e-05,3.3305096236704206e-11,4.5818319287824753e-10
6.5094265786350565e-06,0.11536085382419163,0.0,0.0,0.0,0.0,0.9716200145001979,0.0004440718278571311,0.00019524306254736803,0.0012707368000385623,0.00011414353273920054,0.0272752019516154,0.026784458930624543,2.545558255728624e-08,2.9021646942697286e-07,5.180679101672508e-05,3.4356262537446126e-11,4.732366620010391e-10
6.571966867493582e-06,0.11540337782242524,0.0,0.0,0.0,0.0,0.9712347472764571,0.00044395165207875774,0.0001955749365786968,0.001286161044711714,0.00011416415144351939,0.027651033078565288,0.027155635024436464,2.578995618092624e-08,2.9466791805318175e-07,5.3253997869619955e-05,3.531599543822202e-11,4.869819766102201e-10
6.628253127466255e-06,0.11544162877306213,0.0,0.0,0.0,0.0,0.9708882117689942,0.00044384606899426957,0.00019586736451799718,0.0013000368235870968,0.00011417918472947329,0.027989067438014156,0.027489514813313923,2.6090476141320383e-08,2.9867388598161703e-07,5.4573137366318326e-05,3.619079892429503e-11,4.995118749674359e-10
6.684539387438927e-06,0.11547985909734217,0.0,0.0,0.0,0.0,0.9705418798820634,0.000443742932784194,0.00019615413842619984,0.0013139068316167643,0.00011419106002594684,0.028326889769020803,0.027823215659740236,2.6390599896644268e-08,3.0267951835306494e-07,5.590800140910777e-05,3.7076030350996365e-11,5.121919916657743e-10
6.7408256474116e-06,0.11551806782623314,0.0,0.0,0.0,0.0,0.970195760169254,0.00044364224350333767,0.0001964355115366426,0.0013277710301485314,0.00011419994260902612,0.028664491334253344,0.028156728789313443,2.6690325528017404e-08,3.0668480454487507e-07,5.725853982014855e-05,3.7971656442253057e-11,5.250218353785549e-10
6.797111907384272e-06,0.11555625404622988,0.0,0.0,0.0,0.0,0.9698498606977092,0.00044354399506190794,0.00019671172571488922,0.001341629386923634,0.00011420598994291878,0.02900186389380192,0.02849004592061282,2.698965070789587e-08,3.1068973918102724e-07,5.862470268482529e-05,3.8877644096500004e-11,5.380009225124898e-10
6.853398167356945e-06,0.11559441689539048,0.0,0.0,0.0,0.0,0.9695041890711211,0.00044344817578075143,0.00019698301191974532,0.0013554818755980888,0.00011420935201079585,0.029338999681663643,0.028823159242025637,2.728857392348861e-08,3.1469432192234643e-07,6.000644036993765e-05,3.979396039879297e-11,5.511287795098043e-10
