Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3)
3.0122774897393786e-08,0.11224590845161175,0.0,0.0,0.0,0.0,0.9999951660437191,9.503871700846846e-06,5.468028709057737e-08,5.468028709057737e-08
3.37734098491674e-08,0.11224597346015024,0.0,0.0,0.0,0.0,0.9999945728546251,1.0648176203561294e-05,6.87048487782603e-08,6.87048487782603e-08
4.107467975271462e-08,0.11224610347197655,0.0,0.0,0.0,0.0,0.9999933817507944,1.293191923753389e-05,1.0152639127879087e-07,1.0152639127879087e-07
4.837594965626184e-08,0.11224623347564,0.0,0.0,0.0,0.0,0.9999921843715447,1.5209168681048592e-05,1.4069607652947388e-07,1.4069607652947388e-07
5.567721955980906e-08,0.11224636346975611,0.0,0.0,0.0,0.0,0.9999909807473241,1.7479917984895242e-05,1.861957890256215e-07,1.861957890256215e-07
6.297848946335628e-08,0.11224649345295315,0.0,0.0,0.0,0.0,0.9999897709084907,1.974416083306643e-05,2.3800739535837503e-07,2.3800739535837503e-07
7.027975936690351e-08,0.11224662342387061,0.0,0.0,0.0,0.0,0.9999885548853121,2.2001891141628736e-05,2.961127448876641e-07,2.961127448876641e-07
7.758102927045074e-08,0.11224675338116052,0.0,0.0,0.0,0.0,0.9999873327079657,2.425310305766114e-05,3.604936703888582e-07,3.604936703888582e-07
9.218356907754518e-08,0.1122470132495256,0.0,0.0,0.0,0.0,0.9999848700110235,2.8735949449734835e-05,5.080095011626348e-07,5.080095011626348e-07
9.999999999999998e-08,0.11224727304750377,0.0,0.0,0.0,0.0,0.9999835417990517,3.1124784751722334e-05,5.97205715051675e-07,5.97205715051675e-07
1.0678610888463962e-07,0.11224727304750377,0.0,0.0,0.0,0.0,0.999982383057253,3.319265776751534e-05,6.804092423317336e-07,6.804092423317336e-07
1.2138864869173406e-07,0.112247532764741,0.0,0.0,0.0,0.0,0.9999798720847646,3.7623189399285286e-05,8.775470239237561e-07,8.775470239237561e-07
1.359911884988285e-07,0.11224779239107462,0.0,0.0,0.0,0.0,0.9999773373301785,4.2027509329074545e-05,1.0992767714334442e-06,1.0992767714334442e-06
