Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9)
5.483200753561256e-08,0.11224638229483284,0.0,0.0,0.0,0.0,0.9999909782579922,1.721725328108398e-05,1.62985313270459e-07,1.8073437621359116e-07,3.017766685685908e-07,1.5976286575586154e-07
5.703995562205192e-08,0.11224642376399284,0.0,0.0,0.0,0.0,0.9999906075435866,1.7902869324129815e-05,1.6995329951231325e-07,1.955356082177731e-07,3.210189867598736e-07,1.733006477326667e-07
5.924790370849128e-08,0.1122464652955573,0.0,0.0,0.0,0.0,0.9999902362614195,1.8587888284027043e-05,1.7693107918574136e-07,2.1091571086086819e-07,3.4082637626501575e-07,1.8740550397007137e-07
6.145585179493065e-08,0.11224650688955759,0.0,0.0,0.0,0.0,0.9999898644123314,1.9272309864513135e-05,1.839174020566877e-07,2.268743093358431e-07,3.611994518810789e-07,2.0207817958011717e-07
6.366379988137001e-08,0.11224654854601382,0.0,0.0,0.0,0.0,0.9999894919971628,1.995613376748241e-05,1.9091111530070294e-07,2.4341103248382063e-07,3.8213872675057764e-07,2.1731932196684768e-07
6.587174796780938e-08,0.11224659026493544,0.0,0.0,0.0,0.0,0.9999891190167528,2.063935969299598e-05,1.9791115589685393e-07,2.6052551278382443e-07,4.036446199750458e-07,2.3312948843100816e-07
6.807969605424875e-08,0.11224663204632246,0.0,0.0,0.0,0.0,0.9999887454719403,2.1321987339292306e-05,2.0491654361417585e-07,2.7821738634191306e-07,4.257174636366981e-07,2.4950915318221766e-07
7.028764414068812e-08,0.11224667389016592,0.0,0.0,0.0,0.0,0.9999883713635638,2.2004016402798294e-05,2.1192637454510696e-07,2.964862928797645e-07,4.4835750927368825e-07,2.664587138041729e-07
7.249559222712748e-08,0.1122467157964484,0.0,0.0,0.0,0.0,0.9999879966924605,2.2685446578140902e-05,2.189398151443056e-07,3.153318757227671e-07,4.715649338505059e-07,2.8397849721448365e-07
7.470354031356685e-08,0.11224675776514499,0.0,0.0,0.0,0.0,0.999987621459468,2.3366277558159185e-05,2.259560967336431e-07,3.3475378178766526e-07,4.953398452626691e-07,3.0206876515834574e-07
7.691148840000622e-08,0.11224679979622373,0.0,0.0,0.0,0.0,0.9999872456654225,2.4046509033916794e-05,2.329745104365647e-07,3.5475166156980707e-07,5.196822874124741e-07,3.207297192728583e-07
7.911943648644558e-08,0.11224684188964597,0.0,0.0,0.0,0.0,0.9999868693111598,2.472614069471475e-05,2.399944025078955e-07,3.7532516913003376e-07,5.445922448896831e-07,3.3996150575591067e-07
8.132738457288495e-08,0.11224688404536708,0.0,0.0,0.0,0.0,0.9999864923975151,2.5405172228104603e-05,2.4701517002818555e-07,3.9647396208124997e-07,5.700696472880193e-07,3.597642196705418e-07
8.353533265932432e-08,0.11224692626333674,0.0,0.0,0.0,0.0,0.9999861149253232,2.608360331990192e-05,2.54036256934308e-07,4.181977015747061e-07,5.961143731857221e-07,3.8013790891306006e-07
8.574328074576369e-08,0.11224696854349954,0.0,0.0,0.0,0.0,0.9999857368954183,2.6761433654199918e-05,2.610571503601725e-07,4.404960522860221e-07,6.227262538162693e-07,4.010825778710595e-07
8.795122883220305e-08,0.11224701088579506,0.0,0.0,0.0,0.0,0.9999853583086338,2.743866291338345e-05,2.68077377263313e-07,4.6336868240098125e-07,6.499050764534827e-07,4.225981907955756e-07
