Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32)
3.2146762918705425e-09,0.112245430246034,0.0,0.0,0.0,0.0,0.999999480261738,1.019489414444401e-06,9.154900510872354e-09,6.249119655053161e-10,8.137328995895769e-09,5.261982955677113e-10,7.225280709460324e-10,4.533483812407149e-19,1.1684485032866909e-19,7.03549460885525e-21,4.626892040512773e-27,1.3645894693780548e-31,5.486702179254726e-34,2.3320476244543157e-33
3.860639502903319e-09,0.11224544196535995,0.0,0.0,0.0,0.0,0.9999993755024558,1.22419657664651e-06,1.118065636425795e-08,9.012162920522623e-10,9.737023882095647e-09,7.679913746603845e-10,1.039199470995102e-09,8.898694314262814e-19,2.371344046184585e-19,1.7062159513112265e-20,1.1236188158913954e-26,4.796957181085592e-31,1.9288540703061946e-33,7.669795554097117e-33
4.506602713936094e-09,0.11224545369016592,0.0,0.0,0.0,0.0,0.9999992706362908,1.4288531960288265e-06,1.3264468713910898e-08,1.2279346861298179e-09,1.1329067697149008e-08,1.0586748311305706e-09,1.412407998731878e-09,1.564587271278628e-18,4.322199399634668e-19,3.6176626399649423e-20,2.3847251613316606e-26,1.3925511386988803e-30,5.599665650315051e-33,2.1142646284970042e-32
5.15256592496887e-09,0.11224546542060373,0.0,0.0,0.0,0.0,0.9999991656635078,1.6334592664663543e-06,1.540472076814708e-08,1.6050553490563472e-09,1.2915064073589485e-08,1.3996105467494075e-09,1.8419112232705013e-09,2.5397315176079136e-18,7.278525064683674e-19,6.947963146268095e-20,4.583410707499744e-26,3.510247872943399e-30,1.4115680738939565e-32,5.114796760601204e-32
5.798529136001646e-09,0.11224547715682087,0.0,0.0,0.0,0.0,0.9999990605843144,1.8380147818497504e-06,1.759988824591418e-08,2.0325664797953946e-09,1.4496524132039249e-08,1.7921230523814112e-09,2.327521875279529e-09,3.880780331614872e-18,1.1534668703466165e-18,1.2368290639615584e-19,8.163790065362586e-26,7.942519040662628e-30,3.193982503362725e-32,1.119060885151887e-31
6.444492347034421e-09,0.11224548889896103,0.0,0.0,0.0,0.0,0.999998955398868,2.042519736084276e-06,1.9848534082527315e-08,2.5104562760252437e-09,1.6074871774403987e-08,2.2375016535084513e-09,2.869104678241414e-09,5.656076642996377e-18,1.7421320064055228e-18,2.073222973897307e-19,1.3690824907585538e-25,1.6502957296907406e-29,6.636578945250233e-32,2.2609020419327727e-31
7.090455558067197e-09,0.11224550064716414,0.0,0.0,0.0,0.0,0.9999988501072761,2.24697412308881e-06,2.214930340920316e-08,3.038712935140503e-09,1.76514487033455e-08,2.737002445962024e-09,3.4665733437148313e-09,7.936534311243206e-18,2.5305014669250796e-18,3.309686972104428e-19,2.1864313862451037e-25,3.200169231672544e-29,1.286951538806392e-31,4.281146988404588e-31
7.736418769099973e-09,0.11224551240156656,0.0,0.0,0.0,0.0,0.9999987447095999,2.451377936794901e-06,2.450091880888223e-08,3.6173246551825946e-09,1.9227519165534058e-08,3.2918502219892194e-09,4.119887733220448e-09,1.0795421519426769e-17,3.558764163648585e-18,5.07436258403278e-19,3.353270208798993e-25,5.860851934356445e-29,2.356978678219728e-31,7.681789908201401e-31
8.382381980132749e-09,0.1122455241623014,0.0,0.0,0.0,0.0,0.9999986392058582,2.655731171145889e-06,2.6902175856039886e-08,4.246279635696229e-09,2.0804274410978484e-08,3.903240262656044e-09,4.829051190456721e-09,1.4308216990546437e-17,4.8705957972687776e-18,7.51987444534191e-19,4.970668113516847e-25,1.0229446372707003e-28,4.113882046092223e-31,1.3171342042899847e-30
9.028345191165525e-09,0.11224553592949864,0.0,0.0,0.0,0.0,0.9999985335960279,2.8600338200960976e-06,2.935193892473957e-08,4.925566078517778e-09,2.238283688417922e-08,4.572340021978186e-09,5.594108033486727e-09,1.855251032482754e-17,6.5131110073657904e-18,1.0825350372880272e-18,7.157258691062187e-25,1.7135948589865794e-28,6.89147177946906e-31,2.172245821580243e-30
