Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14)
4.0901265880634713e-10,0.11224537940420716,0.0,0.0,0.0,0.0,0.9999999340215958,1.297820824721156e-07,1.0742457996493552e-09,1.0119964228993845e-11,1.0565097850240096e-09,8.057135770850739e-12,1.1865160969276861e-11,1.6068358672045839e-22,5.972608170421416e-23
4.702015039879102e-10,0.11224538051204354,0.0,0.0,0.0,0.0,0.9999999241473629,1.491959157197043e-07,1.2373302798613897e-09,1.3374167294033533e-11,1.2139294213784995e-09,1.0661801670230954e-11,1.5675147265082452e-11,2.7795493870883227e-22,9.680040396883303e-23
5.313903491694732e-10,0.11224538161992123,0.0,0.0,0.0,0.0,0.9999999142721493,1.6860929574690686e-07,1.4010274843122158e-09,1.708128151631526e-11,1.3711892322151814e-09,1.3634700441534323e-11,2.001318573256713e-11,4.501686266670813e-22,1.4868683700718464e-22
6.195887925270587e-10,0.11224538321690443,0.0,0.0,0.0,0.0,0.9999999000361558,1.9659121135998235e-07,1.6380571362514794e-09,2.322166385038793e-11,1.597588310823744e-09,1.8570572490822978e-11,2.7194153280705116e-11,8.238893020499429e-22,2.563644310613758e-22
7.077872358846442e-10,0.11224538481397421,0.0,0.0,0.0,0.0,0.9999998857981273,2.2457218530216647e-07,1.876350152131498e-09,3.0302997269205994e-11,1.8236649446583786e-09,2.427846502569894e-11,3.5469570129664534e-11,1.3891370784248949e-21,4.131230212318387e-22
7.959856792422297e-10,0.11224538641113106,0.0,0.0,0.0,0.0,0.9999998715580654,2.525522175574785e-07,2.1159008290299255e-09,3.832525174450556e-11,2.0494248030031996e-09,3.0762492948160866e-11,4.483788009241765e-11,2.1991500206820563e-21,6.316269989602475e-22
8.841841225998152e-10,0.11224538800837543,0.0,0.0,0.0,0.0,0.9999998573159717,2.8053130811008937e-07,2.3567035467704506e-09,4.728839734730665e-11,2.2748734725219488e-09,3.802672803257762e-11,5.529756648787774e-11,3.3135202334888153e-21,9.261598197670212e-22
9.723825659574006e-10,0.11224538960570775,0.0,0.0,0.0,0.0,0.9999998430718474,3.0850945694409693e-07,2.5987527058226624e-09,5.719240405500106e-11,2.5000165191308268e-09,4.607524050375051e-11,6.68471318289336e-11,4.796861668664917e-21,1.312424566206303e-21
9.999999999999999e-10,0.11224539120312853,0.0,0.0,0.0,0.0,0.999999838611191,3.172700152328632e-07,2.6748005393027288e-09,6.048705526956751e-11,2.5704532319250016e-09,4.8757336690384024e-11,7.06874627519948e-11,5.348152176521627e-21,1.4549315794061068e-21
1.0605810093149861e-09,0.11224539120312853,0.0,0.0,0.0,0.0,0.9999998288256946,3.3648666404371435e-07,2.842042783643442e-09,6.803724195786081e-11,2.7248594318956177e-09,5.491206070355544e-11,7.948511560796845e-11,6.7192369547924705e-21,1.8077106822870076e-21
