Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40)
2.3829092424663877e-06,0.11274514736360002,0.0,0.0,0.0,0.0,0.9953898116512627,0.00041270154392340937,0.00011295752612191265,0.0002776183514495204,7.276858071402682e-05,0.004150807695202392,0.004034598658912031,3.679318403470165e-09,2.6648306950508427e-08,1.230998382375551e-06,8.163438688939124e-13,6.59514871412016e-12,2.6526639631824887e-14
2.4200881022075063e-06,0.11276246135993312,0.0,0.0,0.0,0.0,0.9952314663681746,0.00041467848322004083,0.00011481075455315706,0.00028528497350220264,7.39194592943808e-05,0.0043023863716650625,0.004182877392152534,3.831494830813186e-09,2.8042107950936647e-08,1.3209725671737555e-06,8.760109708242768e-13,7.197474201674376e-12,2.8949279890562364e-14
2.457266961948625e-06,0.11278002567790281,0.0,0.0,0.0,0.0,0.9950708675795106,0.00041657073229034566,0.00011663593792396934,0.00029301505524438604,7.504981335357817e-05,0.004456252596064209,0.004333417395273512,3.98614505524526e-09,2.9473649621065508e-08,1.4155231858378826e-06,9.387129828745563e-13,7.839552339332455e-12,3.153181107917401e-14
2.4944458216897435e-06,0.11279783543910887,0.0,0.0,0.0,0.0,0.9949080598438995,0.0004183808720990441,0.00011843276929400745,0.000300806762177298,7.615946480353887e-05,0.0046123616288388045,0.004486175011171345,4.1431963035517895e-09,3.0942510000242255e-08,1.5147654064050164e-06,1.004526280405561e-12,8.522835716693337e-12,3.428007572503253e-14
2.531624681430862e-06,0.11281588573478851,0.0,0.0,0.0,0.0,0.9947430879705289,0.00042011144793077405,0.00012020099354989053,0.00030865828068310763,7.724827211028361e-05,0.004770668437329272,0.004641106283081442,4.302575559191626e-09,3.244823193386724e-08,1.6188125442484723e-06,1.0735260101713114e-12,9.248764505744131e-12,3.719986641011249e-14
2.5688035411719806e-06,0.1128341716339537,0.0,0.0,0.0,0.0,0.9945759969461166,0.0004217649673818478,0.00012194040516508248,0.0003165678194745675,7.831612865604853e-05,0.004931127771433235,0.004798167028993316,4.4642097468242205e-09,3.3990325428832396e-08,1.727775952866931e-06,1.1457860178935694e-12,1.0018763813592376e-11,4.0296915123291206e-14
2.605982400913099e-06,0.11285268819114415,0.0,0.0,0.0,0.0,0.9944068318653607,0.0004233438985282409,0.00012365084595911339,0.0003245336109459833,7.93629611013517e-05,0.005093694235734007,0.004957312912604711,4.6280259059235555e-09,3.556827001114247e-08,1.8417649232949445e-06,1.2213787815537523e-12,1.0834241161086925e-11,4.35768831189921e-14
2.6431612606542178e-06,0.11287143045379763,0.0,0.0,0.0,0.0,0.9942356378648591,0.00042485066826620187,0.00012533220286423753,0.0003325539124251589,8.038872775307195e-05,0.005258322358107061,0.005118499510821021,4.793951353430052e-09,3.71815170744326e-08,1.960886592082967e-06,1.3003753503678455e-12,1.169658409433507e-11,4.7045351310355913e-14
2.6803401203953364e-06,0.11289039346924035,0.0,0.0,0.0,0.0,0.9940624600604769,0.0004262876608212563,0.00012698440570712904,0.0003406270073264907,8.139341694425451e-05,0.005424966654822872,0.0052816823778190775,4.961913835469155e-09,3.8829492208238776e-08,2.0852458577562e-06,1.3828452893841587e-12,1.2607157933543553e-11,5.070781121474858e-14
2.717518980136455e-06,0.1129095722913003,0.0,0.0,0.0,0.0,0.9938873434881189,0.00042765721642090227,0.00012860742501258734,0.00034875120620590344,8.237704543085416e-05,0.005593581692176944,0.005446817105706416,5.1318416682212e-09,4.0511597496201264e-08,2.214945305624963e-06,1.4688566296195252e-12,1.3567303665223273e-11,5.456965647589853e-14
2.7546978398775735e-06,0.11292896198654932,0.0,0.0,0.0,0.0,0.9937103330478704,0.00042896163012589694,0.00013020126983552923,0.00035692484771879295,8.33396568100895e-05,0.005764122144688871,0.005613859381817681,5.303663868081521e-09,4.222721377571405e-08,2.3500851407868488e-06,1.558475823628e-12,1.457833598330771e-11,5.863617498498687e-14
2.791876699618692e-06,0.11294855764017925,0.0,0.0,0.0,0.0,0.9935314734514445,0.00043020315081470056,0.00013176598562690417,0.0003651462994825569,8.428131996461246e-05,0.005936542849921858,0.005782765042699211,5.477310271300444e-09,4.397570285121272e-08,2.490763129132883e-06,1.651767706377544e-12,1.5641541481273285e-11,6.291254160908913e-14
2.8290555593598107e-06,0.11296835436151939,0.0,0.0,0.0,0.0,0.9933508091728749,0.00043138398031533404,0.000133301652138602,0.0003734139588456596,8.520212753628118e-05,0.006110798859982876,0.005953490124841164,5.6527116433364846e-09,4.5756409653926195e-08,2.637074546144968e-06,1.7487954612936166e-12,1.6758176995786465e-11,6.740381152907977e-14
2.8662344191009293e-06,0.11298834728920318,0.0,0.0,0.0,0.0,0.9931683844023844,0.00043250627267865335,0.00013480838137188819,0.00038172625356550327,8.610219443290859e-05,0.006286845489771456,0.006125990912224182,5.829799778194504e-09,4.756866434185731e-08,2.7891121332493716e-06,1.8496205913136866e-12,1.792946810303731e-11,7.211491419166368e-14
2.903413278842048e-06,0.1130085315959921,0.0,0.0,0.0,0.0,0.9929842430033532,0.00043357213358685904,0.00013628631557335236,0.00039008164239766026,8.698165637094143e-05,0.006464638362052292,0.0063002239807544505,6.008507588053697e-09,4.941178433469088e-08,2.9469660614715178e-06,1.9543028947837194e-12,1.9156607768167978e-11,7.705064787717816e-14
2.9405921385831664e-06,0.11302890249326594,0.0,0.0,0.0,0.0,0.9927984284722994,0.0004345836198909215,0.00013773562528181596,0.00039847861559927616,8.784066845661843e-05,0.006644133449432796,0.006476146239666827,6.1887691835176124e-09,5.1285076279060864e-08,3.1107239021211827e-06,2.0629004460169996e-12,2.0440755146074938e-11,8.221567487624188e-14
