Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16)
3.8599381229544245e-05,0.13230057378991217,0.0,0.0,0.0,0.0,0.8170537264620382,0.0004471402368560274,0.00025481814979181944,0.008388675546337957,9.696157947619241e-05,0.17827332832052104,0.17415806494987807,1.4611736810806062e-07
4.0130792230880694e-05,0.1329409530343844,0.0,0.0,0.0,0.0,0.8111924437876471,0.0004468156340654447,0.0002563847946910294,0.00869881867745675,9.645840368881536e-05,0.18397812932482524,0.1797088331396485,1.4995805038667061e-07
4.166220323221714e-05,0.13357041747918502,0.0,0.0,0.0,0.0,0.805429574329798,0.0004464669074601925,0.00025788666443469485,0.00900669920578144,9.597078911522025e-05,0.18958572542818558,0.18516348744359545,1.5368064075353372e-07
4.319361423355359e-05,0.1341893374156947,0.0,0.0,0.0,0.0,0.7997617927309122,0.0004460955772668193,0.00025932710459433727,0.009312359501340645,9.549778261783492e-05,0.19509941669030673,0.19052530889054684,1.5728992206806125e-07
4.472502523489004e-05,0.13479806310765757,0.0,0.0,0.0,0.0,0.7941859586248844,0.0004457030482756597,0.0002607092197103794,0.009615840301996146,9.503851223441879e-05,0.20052231929466047,0.19579739528780646,1.60790405929913e-07
4.625643623622649e-05,0.1353969254080047,0.0,0.0,0.0,0.0,0.7886991021126696,0.00044529062130782207,0.0002620358958727019,0.009917180814150191,9.45921785753319e-05,0.20585737999419923,0.20098267563212582,1.6418635294454528e-07
4.778784723756294e-05,0.13598623775184726,0.0,0.0,0.0,0.0,0.7832984106349505,0.00044485950304672876,0.00026330982081639514,0.010216418805477809,9.415804716489748e-05,0.21110738916728405,0.20608392313316226,1.6748179123351735e-07
4.931925823889939e-05,0.13656629726485817,0.0,0.0,0.0,0.0,0.7779812171885753,0.00044441081457458,0.00026453350143850244,0.01051359068971466,9.37354418836949e-05,0.21627499253704185,0.21110376690249524,1.7068053315524014e-07
5.0850669240235836e-05,0.13713738600317693,0.0,0.0,0.0,0.0,0.7727449897392104,0.000443945599155741,0.00026570927971480583,0.010808731604075751,9.332373893174389e-05,0.22136270170017322,0.21604470245471755,1.737861905422732e-07
5.2382080241572285e-05,0.13769977204727937,0.0,0.0,0.0,0.0,0.7675873216170774,0.0004434648291852582,0.0002668393464870116,0.011101875480641251,9.29223619973024e-05,0.22637290367823903,0.22090910123235202,1.7680218862519885e-07
5.3913491242908734e-05,0.13825371047642615,0.0,0.0,0.0,0.0,0.7625059227756578,0.00044296941242616216,0.00026792575465570963,0.011393055112367887,9.253077727682326e-05,0.23130786960962138,0.22569921927390565,1.7973177860839478e-07
5.544490224424518e-05,0.1387994442179903,0.0,0.0,0.0,0.0,0.7574986117971099,0.00044246019722837625,0.000268970429547543,0.011682302214542225,9.214849028593637e-05,0.236169762700383,0.2304172051407923,1.8257804944015975e-07
5.697631324558163e-05,0.13933720490976087,0.0,0.0,0.0,0.0,0.7525633086558579,0.00044193797772124597,0.0002699751807619844,0.011969647481079005,9.177504080299261e-05,0.24096064541807258,0.23506510709145095,1.8534393822916824e-07
5.850772424691808e-05,0.13986721356609544,0.0,0.0,0.0,0.0,0.7476980280296005,0.00044140349768447885,0.0002709417081910771,0.01225512063760034,9.141000243657493e-05,0.24568248614620497,0.23964487971252274,1.8803224056719547e-07
6.003913524825453e-05,0.14038968141184396,0.0,0.0,0.0,0.0,0.7429008733419025,0.00044085745572295683,0.0002718716164210976,0.01253875048889697,9.10529745750107e-05,0.25033716510093884,0.24415838982303198,1.9064561841933342e-07
6.157054624959098e-05,0.14090481021037954,0.0,0.0,0.0,0.0,0.7381700309514232,0.00044030050644364323,0.00027276641023733274,0.01282056496698492,9.070359017071249e-05,0.2549264801217093,0.2486074222348609,1.9318661055966284e-07
6.269417850409998e-05,0.14127821678366725,0.0,0.0,0.0,0.0,0.734740068909894,0.000439885281300655,0.0002734014416045813,0.013026199967590354,9.045189309987981e-05,0.258253194514512,0.25183176431133175,1.950063624777078e-07
6.381781075860897e-05,0.14164785014738787,0.0,0.0,0.0,0.0,0.7313442100264163,0.0004394647487395317,0.00027401887470746396,0.013230882696768507,9.02039938011707e-05,0.2615463021920685,0.2550229650735066,1.9678936912801846e-07
6.482907978766707e-05,0.14197735288984467,0.0,0.0,0.0,0.0,0.7283165659251327,0.0004390819143792902,0.00027455994384093494,0.013414291403045729,8.998402893274166e-05,0.26448188992722427,0.25786723054654875,1.9836339308721272e-07
6.584034881672517e-05,0.1423039074536744,0.0,0.0,0.0,0.0,0.7253155736806255,0.00043869511409367213,0.00027508753671909335,0.013596944335746416,8.976695280037864e-05,0.2673912191942365,0.26068560722732187,1.9990899907977903e-07
6.685161784578327e-05,0.14262756286641554,0.0,0.0,0.0,0.0,0.7223407924319769,0.00043830449654567614,0.00027560200005575066,0.013778848652579707,8.955268391813552e-05,0.27027472685321197,0.2634785286117861,2.0142679509051158e-07
6.786288687484137e-05,0.1429483668394573,0.0,0.0,0.0,0.0,0.7193917931042377,0.00043791020549229637,0.00027610366947017714,0.013960011378579789,8.934114350317084e-05,0.27313283805819183,0.26624641654926173,2.0291737619529203e-07
6.887415590389947e-05,0.14326636590973907,0.0,0.0,0.0,0.0,0.71646815791288,0.00043751237848039214,0.00027659287029199747,0.01414043941118744,8.913225406814597e-05,0.27596596675001955,0.2689896817338542,2.043813162079242e-07
6.988542493295757e-05,0.14358160534250533,0.0,0.0,0.0,0.0,0.7135694799942455,0.0004371111478308714,0.00027706991361294367,0.014320139523334944,8.892594435029202e-05,0.2787745160278154,0.2717087240699416,2.0581916215741954e-07
7.06879526539656e-05,0.14382983979784614,0.0,0.0,0.0,0.0,0.7112866319140667,0.00043679040041925325,0.0002774400358086612,0.014462233163902865,8.876401035002533e-05,0.28098610585494255,0.2738495342277346,2.0694201399180244e-07
7.149048037497363e-05,0.1440763855916684,0.0,0.0,0.0,0.0,0.7090190580398553,0.0004364676526345032,0.0002778028393564433,0.014603875839260892,8.860362259783416e-05,0.28318265530127684,0.2759755250390684,2.0804904247049984e-07
7.229300809598166e-05,0.1443212638650456,0.0,0.0,0.0,0.0,0.7067665687273124,0.0004361429643477925,0.0002781584661351039,0.01474507077552303,8.844474896174849e-05,0.2853643522258575,0.27808688283718924,2.0914050646470429e-07
7.309553581698969e-05,0.14456449525228726,0.0,0.0,0.0,0.0,0.7045289781220633,0.0004358163937520749,0.000278507054839691,0.014885821154208249,8.828735774151998e-05,0.28753138072412915,0.2801837902122328,2.1021665847064982e-07
7.389806353799772e-05,0.14480610001524405,0.0,0.0,0.0,0.0,0.7023061040513618,0.00043548799754634373,0.0002788487404886155,0.01502613011317288,8.813141830769342e-05,0.28968392123617154,0.28226642611842123,2.1127774548320458e-07
7.470059125900574e-05,0.1450460980250233,0.0,0.0,0.0,0.0,0.7000977679195635,0.00043515783094156234,0.00027918365478416673,0.015166000747610068,8.797690082335383e-05,0.2918221506503629,0.28433496597754765,2.1232400920150246e-07
7.550311898001377e-05,0.14528450875584437,0.0,0.0,0.0,0.0,0.6979037946060176,0.0004348259475961263,0.0002795119259360056,0.015305436111058857,8.782377644976795e-05,0.29394624240518974,0.2863895817800898,2.1335568612428217e-07
7.710817442202983e-05,0.1457566444461649,0.0,0.0,0.0,0.0,0.6935582525562957,0.00043415723782817654,0.0002801490356692629,0.015583013038139215,8.752159569518815e-05,0.2981526902057508,0.29045771278286886,2.153762005197954e-07
7.871322986404589e-05,0.1462226554684403,0.0,0.0,0.0,0.0,0.6892681428840246,0.0004334822683130669,0.0002807610320044047,0.015858884523009886,8.722466145729805e-05,0.3023045866766867,0.29447212994153743,2.1734108195909034e-07
8.031828530606195e-05,0.14668268461011158,0.0,0.0,0.0,0.0,0.6850321805487248,0.0004328014177036169,0.00028134882977386827,0.016133073580699205,8.693277128644774e-05,0.30640320424422596,0.2984340947351696,2.1925204933620728e-07
8.192334074807801e-05,0.14713686986806182,0.0,0.0,0.0,0.0,0.6808491277293892,0.00043211504478166227,0.00028191329943667647,0.01640560263912053,8.664573408106428e-05,0.3104497684630961,0.30234482203696506,2.211107512695453e-07
8.352839619009407e-05,0.14758534365711537,0.0,0.0,0.0,0.0,0.6767177913216965,0.0004314234896780361,0.0002824552699605562,0.016676493563463315,8.636336922519707e-05,0.3144454605036174,0.30620548259102354,2.2291876988542124e-07
8.513345163211013e-05,0.14802823392623554,0.0,0.0,0.0,0.0,0.672637020692194,0.000430727074939016,0.0002829755312642116,0.01694576767835531,8.608550589031708e-05,0.3183914193834584,0.310017205234592,2.2467762417711325e-07
8.673850707412619e-05,0.14846566423754456,0.0,0.0,0.0,0.0,0.6686057057779993,0.00043002610655023876,0.00028347483643949745,0.017213445786770174,8.581198232427398e-05,0.32228874385574147,0.3137810787781872,2.2638877311227308e-07
8.834356251614225e-05,0.14889775319434784,0.0,0.0,0.0,0.0,0.6646227747646051,0.0004293208751772797,0.00028395390427029616,0.017479548193344813,8.554264519949613e-05,0.326138494716435,0.3174981543029173,2.2805361905351957e-07
8.99486179581583e-05,0.14932461629701985,0.0,0.0,0.0,0.0,0.660687192275112,0.00042861165702301175,0.00028441342107914195,0.017744094722821784,8.527734918219042e-05,0.3299416966036209,0.321169446951669,2.296735104045309e-07
9.155367340017436e-05,0.14974636443302167,0.0,0.0,0.0,0.0,0.6567979577399173,0.0004278987145574107,0.0002848540425951849,0.018007104736885715,8.501595630345961e-05,0.33369933961714954,0.3247959375415969,2.3124974422149685e-07
9.315872884219042e-05,0.15016310524122273,0.0,0.0,0.0,0.0,0.6529541038443819,0.0004271822973108412,0.00028527639564005376,0.01826859715030447,8.47583354591275e-05,0.3374123808608173,0.3283785740993244,2.32783568756889e-07
9.476378428420648e-05,0.15057494263894608,0.0,0.0,0.0,0.0,0.649154694961169,0.00042646264276826067,0.00028568107978217786,0.01852859044732676,8.45043620397995e-05,0.3410817459997228,0.3319182734111165,2.3427618577111961e-07
9.636883972622254e-05,0.1509819772231594,0.0,0.0,0.0,0.0,0.645398825645616,0.00042573997710655795,0.0002860686689716831,0.018787102697624843,8.425391749537363e-05,0.34470833075491725,0.335415922510596,2.357287528544489e-07
9.957895061025466e-05,0.15178202425309684,0.0,0.0,0.0,0.0,0.6380142269393736,0.0004242864637372486,0.00028679473810111754,0.019299754349525435,8.376316891086013e-05,0.3518366001386556,0.3422884772666471,2.3851815897532766e-07
9.999999999999998e-05,0.15248658626108638,0.0,0.0,0.0,0.0,0.637057941433605,0.0004240950717666902,0.00028688528212573246,0.019366568549771156,8.369976944336789e-05,0.3527594831641151,0.34317803051849427,2.3887292347012423e-07
0.00010246805040588356,0.15248658626108638,0.0,0.0,0.0,0.0,0.6315084813075234,0.0004229700609068401,0.00028739501574921803,0.019756248947694573,8.333248606479736e-05,0.35811415281877673,0.3483383005122051,2.4090243332098385e-07
0.00010535715020151247,0.1531770131699891,0.0,0.0,0.0,0.0,0.6251309656535415,0.00042164696159701005,0.00028794779778495587,0.02020820850295848,8.291163320804685e-05,0.3642657940566902,0.3542644510606366,2.431731371127887e-07
0.00010824624999714138,0.15385378705288721,0.0,0.0,0.0,0.0,0.6188773283468763,0.0004203181475231098,0.0002884556680415692,0.02065572517935449,8.250009455785578e-05,0.3702958263181359,0.3600711868508723,2.4533567157828063e-07
0.00011113534979277028,0.15451736683062176,0.0,0.0,0.0,0.0,0.6127434447389573,0.00041898452225241364,0.00028892103147131024,0.021098887782741566,8.209739427613648e-05,0.376208326984407,0.3657625423067456,2.473951116575965e-07
0.00011402444958839919,0.15516818619677428,0.0,0.0,0.0,0.0,0.6067254006805372,0.00041764691823053466,0.00028934612994844117,0.021537781951432036,8.170309256225678e-05,0.3820071647203363,0.3713423446195449,2.4935623135170035e-07
