Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26)
6.796087566916103e-09,0.11224549529270085,0.0,0.0,0.0,0.0,0.9999988981022299,2.153809721396962e-06,2.1094452876912222e-08,2.791738842645063e-09,1.693313359667985e-08,2.5025872798794418e-09,3.1873775092568925e-09,6.830013150929022e-18,2.1439913720978085e-18,2.6889681947378634e-19
7.33498451988867e-09,0.11224550509604932,0.0,0.0,0.0,0.0,0.9999988102215289,2.324357005242184e-06,2.3033591947836964e-08,3.2518239114304694e-09,1.824806291463499e-08,2.9404647074343327e-09,3.707317282382207e-09,8.946667804740704e-18,2.889251409577281e-18,3.9078802382850103e-19
8.046487654169222e-09,0.11224551804604012,0.0,0.0,0.0,0.0,0.9999986940799724,2.5494758718701533e-06,2.5647422849780325e-08,3.912947542748374e-09,1.9984221633941666e-08,3.578195046506537e-09,4.453321902902877e-09,1.2395246332532812e-17,4.150250376351783e-18,6.152883611967325e-19
8.757990788449774e-09,0.11224553100378966,0.0,0.0,0.0,0.0,0.9999985778097271,2.774533371302118e-06,2.8320809847704467e-08,4.635141543136719e-09,2.1721873403879825e-08,4.285206708007537e-09,5.267104185571916e-09,1.668207878184301e-17,5.782274002995482e-18,9.324625087090684e-19
9.469493922730327e-09,0.11224554396946937,0.0,0.0,0.0,0.0,0.9999984614107343,2.999529495466543e-06,3.1052281857854395e-08,5.418390148651676e-09,2.3462471689091346e-08,5.063040972149004e-09,6.148751018629511e-09,2.1912289393049315e-17,7.850693393587732e-18,1.3682429068319891e-18
9.999999999999999e-09,0.11224555694324669,0.0,0.0,0.0,0.0,0.9999983745382665,3.167249612957184e-06,3.3125879038191696e-08,6.042114078648023e-09,2.4763016184370373e-08,5.6899911444003955e-09,6.850365576631602e-09,2.6490168689668402e-17,9.718629259099751e-18,1.7882218849106407e-18
1.0180997057010879e-08,0.11224555694324669,0.0,0.0,0.0,0.0,0.9999983448828813,3.2244642363064087e-06,3.384046005274795e-08,6.262677600373422e-09,2.520737768757322e-08,5.913201779289483e-09,7.0984042094286495e-09,2.8193912423493034e-17,1.0425833106251804e-17,1.9529247281194395e-18
1.089250019129143e-08,0.112245569925285,0.0,0.0,0.0,0.0,0.999998228226003,3.4493375857781095e-06,3.668405193287387e-08,7.167988145486967e-09,2.6957866257890178e-08,6.837158111400307e-09,8.116256937603775e-09,3.563778788454052e-17,1.358289741593825e-17,2.7214834225696553e-18
1.1604003325571983e-08,0.11224558291574419,0.0,0.0,0.0,0.0,0.9999981114398868,3.674149535850558e-06,3.958184606272006e-08,8.134306038166173e-09,2.871513118225191e-08,7.836346106570424e-09,9.202550605609484e-09,4.4357461698981715e-17,1.740189953744287e-17,3.7138834581836146e-18
1.2315506459852535e-08,0.11224559591478037,0.0,0.0,0.0,0.0,0.9999979945242751,3.8989000785042105e-06,4.253270672209936e-08,9.161615540535153e-09,3.0480290514214855e-08,8.912171207633577e-09,1.0357571638679515e-08,5.4469098946460665e-17,2.1967591976575605e-17,4.975388741893975e-18
