Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42)
7.015859710771307e-10,0.11224538470168072,0.0,0.0,0.0,0.0,0.9999998867992749,2.226048637987696e-07,1.8595545271373915e-09,2.9774125414010644e-11,1.807779590339071e-09,2.38514212364881e-11,3.4851826930598205e-11,1.3496511012527611e-21,3.9635686727377577e-22,5.632256724746358e-24,3.606328162411573e-30,4.9672617629355603e-36,1.9950364511661606e-38,1.799729095257651e-37,5.811506018739164e-38,3.1702822984955636e-38,2.3106388175408153e-41,2.7839578249955496e-44
8.801207710245375e-10,0.11224538793478744,0.0,0.0,0.0,0.0,0.9999998579721575,2.792423166953729e-07,2.3455822038691344e-09,4.685455759355112e-11,2.2644934518987536e-09,3.7674465171856643e-11,5.479156236490982e-11,3.2617266310250944e-21,8.970465059444405e-22,1.5715131512292503e-23,1.0128692719442232e-29,2.191052783641876e-35,8.802488995302338e-38,7.050213496596145e-37,3.162959062482927e-37,1.7267598363362996e-37,1.4080133712024784e-40,1.4419446160181215e-43
9.999999999999999e-10,0.1122453911682546,0.0,0.0,0.0,0.0,0.9999998386111911,3.172700154628228e-07,2.6748005462206218e-09,6.04868274136725e-11,2.570452997320966e-09,4.8756941051910844e-11,7.068730180245564e-11,5.353560628684852e-21,1.4288327521694119e-21,2.8196769525562487e-23,1.823116329240944e-29,5.089380078475508e-35,2.0449144592625096e-37,1.529710936127772e-36,8.276589529269654e-37,4.52049782533687e-37,3.905995542920954e-40,3.694897136873969e-43
1.0586555709719443e-09,0.1122453911682546,0.0,0.0,0.0,0.0,0.9999998291367206,3.358759108591243e-07,2.8367183724841835e-09,6.7790218008945e-11,2.719953875543506e-09,5.471030657827678e-11,7.919744605353481e-11,6.677041508844947e-21,1.7610921435007964e-21,3.664496195378114e-23,2.372428242669419e-29,7.374530888356868e-35,2.963237461860719e-37,2.155384916645844e-36,1.2560569272027264e-36,6.861501825817981e-37,6.0537260813410775e-40,5.567483742577585e-43
1.2371903709193512e-09,0.11224539440208592,0.0,0.0,0.0,0.0,0.9999998002929765,3.9250564615864503e-07,3.3329172792576947e-09,9.258085817248314e-11,3.17420633687145e-09,7.49923876673934e-11,1.080574297913153e-10,1.2194366227404177e-20,3.130563060008372e-21,7.539563719007412e-23,4.8970685142437556e-29,2.062176149399306e-34,8.287323428489865e-37,5.572285993902901e-36,4.030078240775719e-36,2.2027495618091004e-36,2.064302655852237e-39,1.7572856713271118e-42
1.4157251708667581e-09,0.11224539763628506,0.0,0.0,0.0,0.0,0.9999997714409378,4.491315224626964e-07,3.834133911464912e-09,1.2122622956691962e-10,3.6272955705449147e-09,9.855385056784222e-11,1.4135990627290725e-10,2.0488155013106213e-20,5.170364321743429e-21,1.414153240029642e-22,9.207870611806848e-29,5.041345769246624e-34,2.0261807436955578e-36,1.2755462292807371e-35,1.1103930771554813e-35,6.072312200286002e-36,5.97534905895929e-39,4.7952950395901015e-42
1.7727947707615717e-09,0.11224540410580156,0.0,0.0,0.0,0.0,0.9999997137120211,5.623716975601065e-07,4.851443894878571e-09,1.9008017175630168e-10,4.530159700174411e-09,1.5564603898002144e-10,2.2124805052124242e-10,4.8423998110352416e-20,1.2034265655391045e-20,4.08457569721807e-22,2.668996406289785e-28,2.3141748678231992e-33,9.302419897400759e-36,5.214884975439713e-35,6.480483089221681e-35,3.548421014187098e-35,3.8201034648340574e-38,2.7784601891350293e-41
2.1298643706563853e-09,0.1122454105768329,0.0,0.0,0.0,0.0,0.9999996559500585,6.755964351040793e-07,5.8883025489752275e-09,2.7435005552381034e-10,5.428889814406724e-09,2.262462246860392e-10,3.187775643436718e-10,9.714192451416934e-20,2.412712532177523e-20,9.770166957416132e-22,6.399381638621876e-28,7.964679709360884e-33,3.201917520430383e-35,1.6519200158880308e-34,2.661136384585984e-34,1.4586337607858826e-34,1.66129155355477e-37,1.1416919009457122e-40
2.486933970551199e-09,0.1122454170494076,0.0,0.0,0.0,0.0,0.9999995981551313,7.888057340493286e-07,6.9443752027237234e-09,3.7403389103845403e-10,6.323818360862624e-09,3.1060928420772604e-10,4.338707598626617e-10,1.7413654480669966e-19,4.358597275705872e-20,2.048917494216683e-21,1.3443247387480225e-27,2.2586072398825115e-32,9.080541395270429e-35,4.3941210736253336e-34,8.699099435909316e-34,4.772685438851684e-34,5.65949688773689e-37,3.744883997910768e-40
2.844003570446013e-09,0.11224542352355367,0.0,0.0,0.0,0.0,0.9999995403273148,9.019995933524717e-07,8.019337918866736e-09,4.891296877687287e-10,7.21526705366845e-09,4.0898576626693997e-10,5.664563553864727e-10,2.8759065825062555e-19,7.290835021353871e-20,3.900759513839827e-21,2.562657190941477e-27,5.577968941102566e-32,2.242689531356282e-34,1.0308061695503002e-33,2.426430048081011e-33,1.3324379195272733e-33,1.6301941289928476e-36,1.0491972410050402e-39
