Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30)
5.75246637105125e-09,0.11224547631973261,0.0,0.0,0.0,0.0,0.9999990680808901,1.8234298781817135e-06,1.7441565432720074e-08,2.0004129463651035e-09,1.438387284448448e-08,1.7623986758318432e-09,2.291038502453706e-09,3.771474076431273e-18,1.1181252666046156e-18,1.1897778738886734e-19,7.85294172061427e-26
6.5264122375302646e-09,0.11224549038850848,0.0,0.0,0.0,0.0,0.9999989420518537,2.0684510729803214e-06,2.013745374742551e-08,2.574660362734246e-09,1.6274882511843955e-08,2.297825660949509e-09,2.941781106475415e-09,5.91574056851427e-18,1.830248662046652e-18,2.205688690455322e-19,1.4566351195423348e-25
7.222963517361377e-09,0.11224550305786264,0.0,0.0,0.0,0.0,0.9999988284954494,2.2889080834921046e-06,2.262759003335919e-08,3.1533000161907294e-09,1.797475395385903e-08,2.846268423526938e-09,3.596036468460598e-09,8.47336631658534e-18,2.720490759115363e-18,3.62422457264982e-19,2.3943876154955637e-25
7.919514797192491e-09,0.11224551573445732,0.0,0.0,0.0,0.0,0.9999987148157027,2.5093062878772478e-06,2.5176555317918304e-08,3.790487777809519e-09,1.9674326207936318e-08,3.4593538762806535e-09,4.315224561076253e-09,1.1721375807012263e-17,3.899815338180558e-18,5.691330688523134e-19,3.761283261113151e-25
8.616066077023605e-09,0.11224552841845808,0.0,0.0,0.0,0.0,0.9999986010126232,2.7296456785451893e-06,2.77828608256419e-08,4.486208852566538e-09,2.137507152801777e-08,4.138572050754552e-09,5.099362298895739e-09,1.5755064104931867e-17,5.424041094273023e-18,8.606332319833821e-19,5.68932079741261e-25
9.312617356854718e-09,0.11224554111002683,0.0,0.0,0.0,0.0,0.9999984870861661,2.9499262479199446e-06,3.04451093449576e-08,5.240448448800194e-09,2.3078370595878916e-08,4.885375940382025e-09,5.948521124745282e-09,2.0672560408410042e-17,7.353618649569334e-18,1.2605127786519331e-18,8.334737370335265e-25
9.999999999999999e-09,0.11224555380932141,0.0,0.0,0.0,0.0,0.9999983745382669,3.167249613222948e-06,3.312587804002529e-08,6.042113810282409e-09,2.4763016913549677e-08,5.689991232786897e-09,6.850364935528078e-09,2.6490155908166077e-17,9.718622782499055e-18,1.7882427547593355e-18,1.1826557179788468e-24
1.0009168636685832e-08,0.11224555380932141,0.0,0.0,0.0,0.0,0.9999983730362363,3.1701479884390637e-06,3.3161989512331004e-08,6.053191779272655e-09,2.4785518235934846e-08,5.701183795238123e-09,6.862823588597522e-09,2.6574681833010602e-17,9.753562078408095e-18,1.796310044004691e-18,1.187993988591788e-24
1.0705719916516946e-08,0.11224556651649598,0.0,0.0,0.0,0.0,0.9999982588626898,3.3903108925526586e-06,3.5932270469143796e-08,6.9244240621264165e-09,2.6497728757389825e-08,6.587381268635542e-09,7.842440151053824e-09,3.356482575639381e-17,1.269338236051416e-17,2.499798086898676e-18,1.653540334161918e-24
1.140227119634806e-08,0.11224557923170123,0.0,0.0,0.0,0.0,0.9999981445653378,3.6104149527225075e-06,3.8754796863034663e-08,7.854130521762077e-09,2.8216140952005566e-08,7.545323425312032e-09,8.887586192879506e-09,4.174888861797004e-17,1.6247022831747715e-17,3.407266317208256e-18,2.2541538690125493e-24
1.2098822476179173e-08,0.11224559195508484,0.0,0.0,0.0,0.0,0.99999803014395,3.830460161421235e-06,4.162848419252878e-08,8.84229638963658e-09,2.994182274865974e-08,8.576336611782098e-09,9.998519229992315e-09,5.123519674676347e-17,2.0492796935063804e-17,4.559796971322497e-18,3.017052653067771e-24
1.2795373756010287e-08,0.11224560468679112,0.0,0.0,0.0,0.0,0.9999979155982559,4.050446511131574e-06,4.4552314436596636e-08,9.888906904998395e-09,3.167577558304415e-08,9.681720211826114e-09,1.1175536298514676e-08,6.213443764799499e-17,2.551332805510215e-17,6.003537858543491e-18,3.972812606347126e-24
1.34919250358414e-08,0.1122456174269619,0.0,0.0,0.0,0.0,0.9999978009279488,4.2703739943456726e-06,4.7525331943385393e-08,1.0993947315562974e-08,3.341893850824944e-08,1.0862748297786384e-08,1.2418971494805656e-08,7.455959388346242e-17,3.1395491480430425e-17,7.789971759090276e-18,5.155546183147713e-24
1.4188476315672514e-08,0.11224563017573602,0.0,0.0,0.0,0.0,0.9999976861326856,4.49024260356448e-06,5.054663956439878e-08,1.2157402878132209e-08,3.517219205995475e-08,1.2120671183297899e-08,1.3729193662377605e-08,8.862588437769801e-17,3.8230358558942546e-17,9.976182542305705e-18,6.603078870463798e-24
1.4885027595503628e-08,0.11224564293325005,0.0,0.0,0.0,0.0,0.9999975712120925,4.710052331297156e-06,5.361539503007845e-08,1.3379258859160077e-08,3.693636188026763e-08,1.3456716879145781e-08,1.5106604223341836e-08,1.0445071379910979e-16,4.611314317434955e-17,1.2625117770215759e-17,8.357123354855609e-24
1.558157887533474e-08,0.11224565569963812,0.0,0.0,0.0,0.0,0.9999974561657644,4.929803170060562e-06,5.673080755469387e-08,1.465950053526887e-08,3.87122221123045e-08,1.4872092457013186e-08,1.6551635147053497e-08,1.2215362669217908e-16,5.5143150574354e-17,1.5805847839918845e-17,1.0463451393191288e-23
1.6278130155165855e-08,0.11224566847503208,0.0,0.0,0.0,0.0,0.9999973409932666,5.1494951123787665e-06,5.989213465359138e-08,1.599811319372061e-08,4.050049858245738e-08,1.636798532787616e-08,1.8064747045762376e-08,1.418562637934022e-16,6.542372853000416e-17,1.9593821897697883e-17,1.2972063541745086e-23
1.697468143499697e-08,0.1122456812595619,0.0,0.0,0.0,0.0,0.9999972256941392,5.369128150782613e-06,6.309867915591731e-08,1.739508213284775e-08,4.230187178722723e-08,1.7945564441826468e-08,1.9646427387165545e-08,1.6368232059005448e-16,7.706222078089395e-17,2.4071120794024457e-17,1.5937356922177037e-23
1.7671232714828082e-08,0.11224569405335538,0.0,0.0,0.0,0.0,0.9999971102678962,5.588702277809319e-06,6.63497864001646e-08,1.885039266244618e-08,4.4116979697271534e-08,1.9605981414439418e-08,2.1297188816328694e-08,1.877575092523525e-16,9.016992273761244e-17,2.93267072430588e-17,1.9418291132856534e-23
1.8367783994659196e-08,0.11224570685653872,0.0,0.0,0.0,0.0,0.999996994714028,5.808217486002112e-06,6.964484160268966e-08,2.0364030104133194e-08,4.594642038851585e-08,2.1350371583663678e-08,2.3017567581099945e-08,2.1420952418550437e-16,1.0486203941944921e-16,3.545667328318256e-17,2.3478552369589578e-23
1.906433527449031e-08,0.1122457196692362,0.0,0.0,0.0,0.0,0.9999968790320028,6.0276737679098965e-06,7.298326738973451e-08,2.1935979791673016e-08,4.779075450979272e-08,2.3179855001031762e-08,2.480812205534963e-08,2.4316801044025497e-16,1.212576455983419e-16,4.256448513779029e-17,2.818671582158274e-23
