Time (s),Volume (m^3),Ar,He,Ne,N2,pentane(1),oxygen(2),HO2(13),C5H11(11),C5H11(7),C5H11(12),S(33),S(41),S(34),S(42),S(52),S(53)
0.48232890952336827,0.00016236525916012024,0.0,0.0,0.0,0.0,0.999195804860021,0.0008041951172613592,2.3832164133251944e-17,7.812663177716801e-19,3.4275413825389134e-19,1.4343848138421745e-19,1.5351190551954498e-17,6.7348262428246565e-18,7.727873331120093e-12,3.390348386031329e-12,4.786884008544388e-19,2.4044795215249675e-13
0.5613569539785007,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048559862,0.0008041951132265777,2.776628819413247e-17,9.10234704199974e-19,3.9933465010595886e-19,1.6711676966914017e-19,1.7885307435757328e-17,7.846586065863621e-18,1.047293260975405e-11,4.594652195907795e-12,5.577085682290928e-19,3.258588555510296e-13
0.6403849984336332,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048513352,0.0008041951085755017,3.171384307726732e-17,1.0396433815053586e-18,4.561083246692903e-19,1.9087589423142913e-19,2.042807561427787e-17,8.962141357827473e-18,1.3637287898718028e-11,5.982908238305566e-12,6.369985045719262e-19,4.243159202410945e-13
0.7194130428887656,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048460655,0.0008041951033058291,3.567676678362126e-17,1.1695558814757377e-18,5.131030343642358e-19,2.1472751934682385e-19,2.2980743426186355e-17,1.0082039785948137e-17,1.722250529674219e-11,7.555803587154914e-12,7.165971362066167e-19,5.35867874464344e-13
0.7984410873438981,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048401747,0.0008041950974150688,3.9656973285185414e-17,1.3000349481932619e-18,5.703463060319249e-19,2.3868316467005783e-19,2.5544543732352895e-17,1.1206822227085537e-17,2.1230280099456604e-11,9.314081997245433e-12,7.965429068195663e-19,6.60567466348274e-13
0.8774691317990305,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048336601,0.0008041950909003313,4.3656392963427537e-17,1.4311438636636017e-18,6.278659025092121e-19,2.627544486171318e-19,2.8120719963250725e-17,1.233703419516278e-17,2.5662577662016984e-11,1.125860570303603e-11,8.768745896834126e-19,7.984758467655443e-13
0.956497176254163,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048265182,0.0008041950837585655,4.7676954383071913e-17,1.5629458503792123e-18,6.856895605235453e-19,2.869529786771686e-19,3.0710514379719974e-17,1.3473220690965208e-17,3.05214740748178e-11,1.3390285520402782e-11,9.576309215973656e-19,9.496576120508145e-13
0.9999999999999998,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048223182,0.0008041950795583963,4.989989203606061e-17,1.6358181619781868e-18,7.176598193156618e-19,3.0033216103939464e-19,3.2142391900205084e-17,1.4101409512468762e-17,3.337905700936654e-11,1.464395535620788e-11,1.0022804795403394e-18,1.0385696633951644e-12
1.0355252207092953,0.00016236525916012024,0.0,0.0,0.0,0.0,0.999195804818746,0.0008041950759863205,5.1720599510523446e-17,1.6955045701625986e-18,7.438452095435524e-19,3.1129044299929466e-19,3.331517787509655e-17,1.461593050249966e-17,3.580931709010574e-11,1.5710151447858796e-11,1.0388509085438448e-18,1.1141858111386343e-12
1.1145532651644277,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958048103394,0.0008041950675797819,5.578928636170238e-17,1.828884210985942e-18,8.023610098682143e-19,3.3577862633195462e-19,3.5935971680779847e-17,1.5765716953255836e-17,4.152870186746897e-11,1.8219342025691206e-11,1.120573878870514e-18,1.2921411908984233e-12
1.2726093540746926,0.00016236525916012024,0.0,0.0,0.0,0.0,0.999195804791607,0.000804195048847206,6.400968006716029e-17,2.098365065265179e-18,9.20586608340247e-19,3.852546667963135e-19,4.1231035578445304e-17,1.8088750803619046e-17,5.42734025055333e-11,2.3810657176387294e-11,1.2856873437538264e-18,1.6886852656842003e-12
1.4129736778536486,0.00016236525916012024,0.0,0.0,0.0,0.0,0.9991958047728008,0.0008041950300411195,7.1413385854315e-17,2.341073280354514e-18,1.0270666180602913e-18,4.2981531418878543e-19,4.600004014331066e-17,2.018099355098319e-17,6.706811711693105e-11,2.9423914300834006e-11,1.434396948304399e-18,2.0867855144693374e-12
