Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6)
1.245422139782007e-08,0.11224537201913411,0.0,0.0,0.0,0.0,0.32999999249022993,0.6699999926606955,7.453413680260255e-09,7.282947474921091e-09,5.635700125106955e-11,2.268232065902302e-10
1.3068124736020685e-08,0.11224537201886008,0.0,0.0,0.0,0.0,0.3299999921200524,0.6699999922880765,7.820728342471978e-09,7.652703830670728e-09,5.921989101553815e-11,2.2724440281678347e-10
1.36820280742213e-08,0.1122453720185847,0.0,0.0,0.0,0.0,0.3299999917498748,0.6699999919154452,8.188043004006046e-09,8.02247206227367e-09,6.20827806766088e-11,2.2765372240898653e-10
1.4295931412421916e-08,0.11224537201830836,0.0,0.0,0.0,0.0,0.32999999137969727,0.6699999915428059,8.55535766430735e-09,8.39224849082225e-09,6.49456707870479e-11,2.2805484427214646e-10
1.490983475062253e-08,0.11224537201803138,0.0,0.0,0.0,0.0,0.3299999910095197,0.6699999911701607,8.922672323678208e-09,8.762030588642192e-09,6.780856104217141e-11,2.2845029607818616e-10
1.5523738088823147e-08,0.11224537201775397,0.0,0.0,0.0,0.0,0.32999999063934216,0.6699999907975119,9.289986982528184e-09,9.13181661961677e-09,7.067145103002862e-11,2.2884181394144035e-10
1.6137641427023762e-08,0.11224537201747628,0.0,0.0,0.0,0.0,0.3299999902691646,0.6699999904248604,9.657301640733027e-09,9.501605379336138e-09,7.353434087245633e-11,2.2923060226934267e-10
1.6751544765224378e-08,0.11224537201719834,0.0,0.0,0.0,0.0,0.32999998989898705,0.6699999900522066,1.0024616298019773e-08,9.871396026440185e-09,7.639723083999853e-11,2.2961750241958754e-10
1.7365448103424993e-08,0.11224537201692028,0.0,0.0,0.0,0.0,0.3299999895288095,0.6699999896795519,1.0391930954421044e-08,1.0241187977088277e-08,7.926012089761474e-11,2.3000309823038236e-10
1.797935144162561e-08,0.1122453720166421,0.0,0.0,0.0,0.0,0.32999998915863193,0.6699999893068962,1.0759245610103658e-08,1.0610980830552186e-08,8.212301087604544e-11,2.303877904275189e-10
1.8593254779826225e-08,0.11224537201636388,0.0,0.0,0.0,0.0,0.3299999887884544,0.6699999889342397,1.1126560265066194e-08,1.0980774311248133e-08,8.498590077427704e-11,2.3077185459234237e-10
1.920715811802684e-08,0.11224537201608557,0.0,0.0,0.0,0.0,0.3299999884182768,0.6699999885615829,1.1493874919202148e-08,1.1350568226977483e-08,8.784879069637092e-11,2.3115548292103565e-10
1.9821061456227456e-08,0.11224537201580724,0.0,0.0,0.0,0.0,0.32999998804809927,0.6699999881889258,1.1861189572494108e-08,1.172036244297872e-08,9.071168065729417e-11,2.3153881017268197e-10
2.043496479442807e-08,0.11224537201552891,0.0,0.0,0.0,0.0,0.3299999876779217,0.6699999878162683,1.2228504225001548e-08,1.2090156865985785e-08,9.357457059512584e-11,2.3192192961088786e-10
2.1662771470829302e-08,0.11224537201497216,0.0,0.0,0.0,0.0,0.3299999869375666,0.6699999870709534,1.2963133527644635e-08,1.282974610475586e-08,9.930035040995861e-11,2.3268777329873222e-10
