Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75)
5.202024321977686e-09,0.11224537202135294,0.0,0.0,0.0,0.0,0.3299999968632025,0.6699999970533241,3.1141512920553587e-09,2.9239894354307564e-09,2.25183235175553e-11,2.1273889539286025e-10,7.128299244403482e-20,1.4037052831494798e-13,1.2804187479149202e-13,1.7964817844335265e-15,2.7876872452083547e-18,1.2936026080698724e-14,2.6705657394990064e-14,2.0957989126320005e-19,1.0783660813765603e-20,1.5263181665658716e-23
5.376555277767708e-09,0.112245372021382,0.0,0.0,0.0,0.0,0.32999999675795993,0.6699999969483325,3.2185713233512433e-09,3.0281555796031342e-09,2.3331480040500562e-11,2.138103288732527e-10,7.385708489213044e-20,1.5056541153522482e-13,1.3740190988421788e-13,1.9949083997401743e-15,3.077625643456369e-18,1.384317985200166e-14,2.85752352379e-14,2.3245787978937815e-19,1.2383110815369473e-20,1.8143808001261374e-23
5.7256171893477516e-09,0.11224537202140909,0.0,0.0,0.0,0.0,0.32999999654747464,0.6699999967380712,3.4274106420147363e-09,3.236765022082265e-09,2.495778854052383e-11,2.1567574309955427e-10,7.900525539813907e-20,1.7202809170878266e-13,1.5711798913149942e-13,2.4347094076872355e-15,3.716442974945649e-18,1.5751000163443598e-14,3.250612526484761e-14,2.8302171533138907e-19,1.6106387369659106e-20,2.5206317985809706e-23
6.039772909769791e-09,0.11224537202140342,0.0,0.0,0.0,0.0,0.3299999963580375,0.6699999965485669,3.61536518533594e-09,3.424781027178184e-09,2.6421459590457706e-11,2.1708676819350582e-10,8.363858796060178e-20,1.925664732123568e-13,1.7599790737425385e-13,2.882159420049857e-15,4.3620210486496684e-18,1.7574564589326197e-14,3.626222419233601e-14,3.342803678047699e-19,2.011979313603319e-20,3.3297703109626064e-23
6.35392863019183e-09,0.11224537202137433,0.0,0.0,0.0,0.0,0.32999999616860015,0.6699999963588528,3.803318933600828e-09,3.6130053531416376e-09,2.7885123827040676e-11,2.1828914910377585e-10,8.827189895501394e-20,2.142612112161898e-13,1.9595350755314116e-13,3.3814678670315816e-15,5.078336980142777e-18,1.9498937008494092e-14,4.0224772021090484e-14,3.9128273050006855e-19,2.483571699291127e-20,4.334111872432515e-23
6.668084350613869e-09,0.11224537202132585,0.0,0.0,0.0,0.0,0.3299999959791625,0.669999996168965,3.991271889612044e-09,3.8014021550861644e-09,2.934878173969719e-11,2.1931873039088224e-10,9.290518993068161e-20,2.3711103048288765e-13,2.1698478434349813e-13,3.935472973509495e-15,5.869067936882489e-18,2.1523987462622247e-14,4.439337603924993e-14,4.543097487400087e-19,3.033009126035955e-20,5.566780099251438e-23
6.982240071035908e-09,0.11224537202126135,0.0,0.0,0.0,0.0,0.3299999957897246,0.6699999959789328,4.1792240560522175e-09,3.989941760040288e-09,3.0812433896459674e-11,2.202051847566119e-10,9.753846268574937e-20,2.6111463778614985e-13,2.390917323713789e-13,4.547009811863056e-15,6.737891040794009e-18,2.3649567994919913e-14,4.876760680230188e-14,5.23638804728556e-19,3.668237517856389e-20,7.064369658811087e-23
7.296395791457947e-09,0.11224537202118347,0.0,0.0,0.0,0.0,0.3299999956002864,0.6699999957887809,4.367175436201487e-09,4.178599599055477e-09,3.227608023231555e-11,2.2097308092632155e-10,1.0217171701441501e-19,2.862707254994842e-13,2.62274346827662e-13,5.218910259615342e-15,7.688483368613287e-18,2.5875515859323778e-14,5.334700480051484e-14,5.995437683943869e-19,4.3975502275625263e-20,8.867101767911732e-23
7.610551511879987e-09,0.1122453720210947,0.0,0.0,0.0,0.0,0.32999999541084796,0.6699999955985301,4.555126033597639e-09,4.367355323320697e-09,3.3739720394735885e-11,2.2164276752632303e-10,1.0680495180072452e-19,3.1257797375984897e-13,2.8653262316959626e-13,5.954002966397173e-15,8.724521952176528e-18,2.8201656176499172e-14,5.813108597649941e-14,6.822950478505735e-19,5.2295828499706474e-20,1.101897723833524e-22
7.924707232302026e-09,0.11224537202099671,0.0,0.0,0.0,0.0,0.3299999952214091,0.6699999954081969,4.74307585150974e-09,4.556192073204981e-09,3.520335427495103e-11,2.222311040346493e-10,1.1143816670035978e-19,3.4003505204674786e-13,3.1186655666202747e-13,6.755113326939189e-15,9.849683778636413e-18,3.0627804130082875e-14,6.311934628710675e-14,7.721596391999401e-19,6.173308109237326e-20,1.3567927158154549e-22
