Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34)
5.651173302519899e-10,0.11224537200696583,0.0,0.0,0.0,0.0,0.32999999965923976,0.6699999997212978,3.3947432468567736e-10,2.774157578749456e-10,1.2854237791341879e-12,6.334391197716437e-11,4.069065213915174e-21,7.689221596075976e-16,6.30917360839908e-16,9.45609261624209e-19,3.6024352948755856e-21,1.375572915628374e-16,2.848228103912296e-16,1.0055935326333894e-22
6.226100435448287e-10,0.11224537200753981,0.0,0.0,0.0,0.0,0.32999999962457216,0.6699999996917438,3.739274851735038e-10,3.0675506159408907e-10,1.4996689889512884e-12,6.867204699713769e-11,4.74726978433719e-21,9.860433049505932e-16,8.181329209776745e-16,1.3387486210384777e-18,4.815377181521361e-21,1.6738262125380314e-16,3.4656553970180046e-16,1.4443935043257554e-22
6.801027568376675e-10,0.11224537200809284,0.0,0.0,0.0,0.0,0.32999999958990456,0.669999999662003,4.0837287677476775e-10,3.362736820053644e-10,1.721660093228134e-12,7.38208560687784e-11,5.449994506770712e-21,1.235497916606211e-15,1.0346910044963572e-15,1.8367019471971194e-18,6.2737036498463865e-21,2.00206315157679e-16,4.1451157041380465e-16,2.005842316072775e-22
7.95088183423345e-10,0.1122453720091391,0.0,0.0,0.0,0.0,0.32999999952056935,0.6699999996019884,4.772447251435361e-10,3.958247440524187e-10,2.18450459482348e-12,8.360462499867945e-11,6.915153814079272e-21,1.8352290102469377e-15,1.5596115979849144e-15,3.2063424651261146e-18,1.0016744722049692e-20,2.7491526034934903e-16,5.691483908063493e-16,3.5695691079176854e-22
8.977735561031988e-10,0.11224537201001,0.0,0.0,0.0,0.0,0.32999999945865094,0.6699999995478285,5.387325840022923e-10,4.495537589731045e-10,2.6144831707956435e-12,9.179362447691164e-11,8.276274479619139e-21,2.4884696052926146e-15,2.135828891331699e-15,4.9338645680316795e-18,1.4412371721679516e-20,3.5192989488411135e-16,7.285411452766677e-16,5.565448406883839e-22
9.999999999999999e-10,0.11224537201082513,0.0,0.0,0.0,0.0,0.32999999939700925,0.6699999994934172,5.999338620737437e-10,5.035245319287686e-10,3.0542317588806904e-12,9.946410740154262e-11,9.668322803122703e-21,3.252483840569407e-15,2.813541263574253e-15,7.219808746857966e-18,1.9907641440979425e-20,4.3833756699564206e-16,9.07356667369259e-16,8.229702500059e-22
1.0004589287830526e-09,0.11224537201082513,0.0,0.0,0.0,0.0,0.3299999993967325,0.6699999994931718,6.002085929100569e-10,5.037678652178462e-10,3.0562279690367926e-12,9.94975023101942e-11,9.674641916357582e-21,3.2561732799326128e-15,2.8168215551921693e-15,7.231483151603792e-18,1.993502084503244e-20,4.387475043595259e-16,9.08204967545118e-16,8.243358375855627e-22
1.1031443014629062e-09,0.11224537201158807,0.0,0.0,0.0,0.0,0.3299999993348141,0.6699999994380497,6.616755849588846e-10,5.584381053054802e-10,3.5069037282837936e-12,1.0674521571536946e-10,1.1101280913294948e-20,4.140827402997038e-15,3.605036898680112e-15,1.019218420292688e-17,2.6713080360978524e-20,5.354465135311453e-16,1.1082981937954143e-15,1.1718497550800012e-21
1.20582967414276e-09,0.11224537201230209,0.0,0.0,0.0,0.0,0.3299999992728956,0.6699999993824919,7.231357231496857e-10,6.135372467828981e-10,3.964345848523027e-12,1.1356399689698165e-10,1.2549339282908161e-20,5.144333940606743e-15,4.502343294543974e-15,1.391065311321329e-17,3.487493361919213e-20,6.42100167729059e-16,1.3289684013637345e-15,1.6108322872241928e-21
1.3085150468226136e-09,0.11224537201297033,0.0,0.0,0.0,0.0,0.3299999992109771,0.6699999993265257,7.84590653449294e-10,6.690396801700168e-10,4.426907201925793e-12,1.1997945510137454e-10,1.4013602930821454e-20,6.268142355994675e-15,5.5101624153255e-15,1.848289155624071e-17,4.4548968289319034e-20,7.587768392168013e-16,1.570353045451266e-15,2.1532037733247532e-21
