Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114)
8.554211289326416e-10,0.11224537200965774,0.0,0.0,0.0,0.0,0.32999999948418896,0.6699999995702288,5.133736301725599e-10,4.27332746712361e-10,2.4355282903175262e-12,8.847664869390008e-11,7.709783011027866e-21,2.205333898507072e-15,1.8856326197049776e-15,4.15770187680233e-18,1.2470410447087703e-20,3.1898229916259855e-16,6.603533019783608e-16,4.631089895050256e-22,3.523522756890474e-24,1.998349024645772e-32,7.530792757750872e-28
9.615584472707032e-10,0.11224537201052268,0.0,0.0,0.0,0.0,0.32999999942018904,0.669999999513934,5.76920714720458e-10,4.831745836309733e-10,2.8877039252852353e-12,9.663428796210304e-11,9.14116977912821e-21,2.951692624874206e-15,2.546332351206788e-15,6.288326482630599e-18,1.7702330717369825e-20,4.046998095505442e-16,8.377473898969865e-16,7.080692721547686e-22,6.091180044033163e-24,3.454592237512742e-32,1.4700823565527597e-27
9.999999999999999e-10,0.11224537201133032,0.0,0.0,0.0,0.0,0.32999999939700914,0.6699999994934172,5.999338596278757e-10,5.035244706374105e-10,3.0542342080778513e-12,9.946416869258585e-11,9.668330556221708e-21,3.252480915865269e-15,2.8135383371376733e-15,7.219988705295014e-18,1.990787290243937e-20,4.3833765634708745e-16,9.073568455522478e-16,8.156786836081709e-22,7.312249912059152e-24,4.1471211284744467e-32,1.838278731565733e-27
1.0676957656087648e-09,0.11224537201133032,0.0,0.0,0.0,0.0,0.3299999993561891,0.6699999994571294,6.404571284198844e-10,5.395152368347286e-10,3.350459423288437e-12,1.0429307837399892e-10,1.0606047818156808e-20,3.822085353697388e-15,3.3206886220237116e-15,9.089458313159042e-18,2.4223530726444393e-20,5.009431680106812e-16,1.0369047992602755e-15,1.032247969594634e-21,9.914350255011162e-24,5.622901651759443e-32,2.667818553650873e-27
1.1738330839468265e-09,0.11224537201208468,0.0,0.0,0.0,0.0,0.3299999992921892,0.6699999993998487,7.039854898359113e-10,5.963239610928239e-10,3.821174258204084e-12,1.1148376487975968e-10,1.2096121675701313e-20,4.8188135483934036e-15,4.210963354547082e-15,1.2665071579277603e-17,3.217578117554343e-20,6.077952783730419e-16,1.2579926937260084e-15,1.4481597497252933e-21,1.537105561577483e-23,8.71767425554957e-32,4.564307159745736e-27
1.2799704022848881e-09,0.11224537201278902,0.0,0.0,0.0,0.0,0.3299999992281892,0.669999999342123,7.675077823599479e-10,6.53571901735808e-10,4.297863616411862e-12,1.1823520188547427e-10,1.3605108290208058e-20,5.943623064222296e-15,5.218869702631132e-15,1.712075339847033e-17,4.1700851466841376e-20,7.253333681830541e-16,1.501166446377856e-15,1.968477577789655e-21,2.2895053123240142e-23,1.298491741917942e-31,7.439305285720267e-27
1.3861077206229498e-09,0.11224537201344655,0.0,0.0,0.0,0.0,0.3299999991641892,0.6699999992839799,8.310255020110777e-10,7.112319798060764e-10,4.779030468091094e-12,1.2457446810160397e-10,1.512826871268223e-20,7.197832531953271e-15,6.345699749206171e-15,2.2563333707463746e-17,5.2940518564398526e-20,8.536293337279605e-16,1.7665703568032173e-15,2.6059828448273275e-21,3.297631803620134e-23,1.8702523115298496e-31,1.1642607443088463e-26
1.4922450389610114e-09,0.11224537201406035,0.0,0.0,0.0,0.0,0.3299999991001891,0.6699999992254471,8.945397743086141e-10,7.692787826519014e-10,5.263548594056811e-12,1.3052697594795196e-10,1.666203782023768e-20,8.58243492897302e-15,7.59242548140535e-15,2.910058758402335e-17,6.603656630301969e-20,9.92750069074134e-16,2.054338335176029e-15,3.373525450077627e-21,4.616137059787613e-23,2.6180453225828053e-31,1.760270400029422e-26
1.598382357299073e-09,0.11224537201463312,0.0,0.0,0.0,0.0,0.3299999990361891,0.6699999991665485,9.58051431178305e-10,8.276884774176386e-10,5.750585613443494e-12,1.361165580626674e-10,1.820378065503217e-20,1.0098164457111988e-14,8.959765235629506e-15,3.6841038074871e-17,8.113078436448982e-20,1.1427577262929965e-15,2.364594443305627e-15,4.283997488709554e-21,6.305344091299732e-23,3.5760833055726303e-31,2.583409575291808e-26
1.7045196756371348e-09,0.11224537201516742,0.0,0.0,0.0,0.0,0.32999999897218896,0.6699999991073072,1.0215611050976489e-09,8.864386866236175e-10,6.239508757563183e-12,1.4136559172121644e-10,1.975149414505189e-20,1.1745578462584548e-14,1.0448265036653593e-14,4.589371470372041e-17,9.836496544734287e-20,1.3037100896405863e-15,2.6974536725683187e-15,5.350301181166209e-21,8.431259626048569e-23,4.781802354235097e-31,3.694837059922892e-26
