Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11)
2.9742783646762484e-09,0.1122453720193131,0.0,0.0,0.0,0.0,0.3299999982065311,0.6699999983785588,1.781291789149764e-09,1.609251094477815e-09,1.213941612581655e-11,1.84196312909609e-10,3.842798067474788e-20,4.174692471129391e-14,3.773320050286111e-14,2.9562997116314596e-16,5.216621459265334e-19,4.093873127604375e-15,8.463593130440225e-15
3.101103077183921e-09,0.11224537201955839,0.0,0.0,0.0,0.0,0.3299999981300562,0.6699999983042672,1.8571722074351272e-09,1.682947267635041e-09,1.2730156957987265e-11,1.8697302974666715e-10,4.0298003815643857e-20,4.57896895410214e-14,4.142247678720171e-14,3.390065595187634e-16,5.912151656149815e-19,4.461438041219938e-15,9.222742524736604e-15
3.227927789691594e-09,0.11224537201978176,0.0,0.0,0.0,0.0,0.3299999980535814,0.6699999982297775,1.9330524331799783e-09,1.7568409553714212e-09,1.3320953985631597e-11,1.8955218080226841e-10,4.216820484271315e-20,5.00224953702649e-14,4.528701973006871e-14,3.8648542349225896e-16,6.666904774452912e-19,4.845307112102908e-15,1.00154703563375e-14
3.3547525021992667e-09,0.1122453720199843,0.0,0.0,0.0,0.0,0.32999999797710644,0.6699999981551048,2.0089324985447664e-09,1.8309175962408307e-09,1.3911775313861317e-11,1.919483273897462e-10,4.403848279333812e-20,5.4445320319533424e-14,4.932685654786379e-14,4.382548975232589e-16,7.483299867969663e-19,5.2455081201812336e-15,1.0841825865359526e-14
3.4815772147069394e-09,0.11224537202016802,0.0,0.0,0.0,0.0,0.32999999790063145,0.6699999980802623,2.084812413878221e-09,1.905163784103503e-09,1.450261087129824e-11,1.9417487552661827e-10,4.590880579603132e-20,5.905812038653319e-14,5.3541995622777385e-14,4.945033384543187e-16,8.363756488455895e-19,5.6620653863469115e-15,1.1701851119726516e-14
3.608401927214612e-09,0.11224537202033398,0.0,0.0,0.0,0.0,0.3299999978241564,0.6699999980052623,2.1606921783903302e-09,1.9795671377452943e-09,1.5093461728629536e-11,1.9624420631413473e-10,4.777917723156597e-20,6.386083905657866e-14,5.793243572097579e-14,5.55419085131642e-16,9.310694392176734e-19,6.095000164926785e-15,1.259558183136976e-14
3.7352266397222845e-09,0.11224537202048367,0.0,0.0,0.0,0.0,0.3299999977476814,0.6699999979301164,2.236571785334617e-09,2.054116225014396e-09,1.5684334912304185e-11,1.9816775179987026e-10,4.96496193250569e-20,6.885341200272692e-14,6.249817046983474e-14,6.211904435492662e-16,1.0326533582938677e-18,6.544330871695707e-15,1.3523047830171613e-14
3.862051352229957e-09,0.1122453720206181,0.0,0.0,0.0,0.0,0.3299999976712063,0.6699999978548352,2.312451242552276e-09,2.1288003558223974e-09,1.627522284383155e-11,1.999562019747726e-10,5.1520108114717305e-20,7.403578546451769e-14,6.723920610065628e-14,6.920056044683682e-16,1.1413693474815014e-18,7.0100737075338954e-15,1.4484274361311e-14
3.98887606473763e-09,0.11224537202073857,0.0,0.0,0.0,0.0,0.32999999759473114,0.6699999977794284,2.388330557790856e-09,2.203609637533664e-09,1.6866118033497843e-11,2.0161944938429016e-10,5.339061991504809e-20,7.940790336942932e-14,7.215554876991919e-14,7.68052703057664e-16,1.2574593655176684e-18,7.492242490689725e-15,1.547928173574684e-14
4.115700777245303e-09,0.11224537202084595,0.0,0.0,0.0,0.0,0.32999999751825604,0.669999997703906,2.464209741399967e-09,2.278534833680176e-09,1.7457010383169004e-11,2.0316673041224375e-10,5.526112268025786e-20,8.496971006339932e-14,7.72472068828466e-14,8.495197885961322e-16,1.3811653174432997e-18,7.99084908257699e-15,1.6508086216012596e-14
