Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15)
7.754873370342533e-09,0.1122453720210507,0.0,0.0,0.0,0.0,0.3299999953238199,0.6699999955111015,4.6414695016491805e-09,4.454096729878624e-09,3.441211628933775e-11,2.219225122915259e-10,1.0893411673663407e-19,3.250485190783421e-13,2.980369269903002e-13,6.3136545909690654e-15,9.230128086793833e-18,2.9303812195232794e-14,6.03973506293943e-14,7.226783011419211e-19,5.648673726769504e-20,3.2036812350129925e-28,1.2160324806191774e-22,4.918759620212745e-16
7.947840244159885e-09,0.11224537202098919,0.0,0.0,0.0,0.0,0.32999999520745904,0.669999995394179,4.756915685275884e-09,4.570099833093139e-09,3.5311040767900635e-11,2.222717389059648e-10,1.1177801474754574e-19,3.421019193296191e-13,3.13774181660229e-13,6.816782521584891e-15,9.93615938185417e-18,3.0810402836196757e-14,6.349471644552386e-14,7.790642908717208e-19,6.247434014863335e-20,3.5432721495029503e-28,1.3799159949402255e-22,5.179028341486445e-16
8.140807117977238e-09,0.11224537202092488,0.0,0.0,0.0,0.0,0.32999999509109806,0.6699999952772311,4.87236148120511e-09,4.6861276781248074e-09,3.6210057828677206e-11,2.2259610122148917e-10,1.1462751374116203e-19,3.5958851440767735e-13,3.299171867847087e-13,7.3459616460177e-15,1.0677305621732603e-17,3.2354647730186055e-14,6.66689073539981e-14,8.382408986597065e-19,6.892101822547028e-20,3.908899780059546e-28,1.5609351665038367e-22,5.446049747648671e-16
8.333773991794591e-09,0.11224537202085809,0.0,0.0,0.0,0.0,0.329999994974737,0.6699999951602605,4.987806911730137e-09,4.802177611354966e-09,3.710914588254197e-11,2.2289825283252216e-10,1.1746436875887756e-19,3.7750801085253207e-13,3.4646595990701454e-13,7.901845254427074e-15,1.1454418751002697e-17,3.393650051826055e-14,6.99197995006339e-14,9.002685341069712e-19,7.584900464653821e-20,4.301825283385307e-28,1.7603859714896132e-22,5.719826257765625e-16
8.526740865611944e-09,0.11224537202078903,0.0,0.0,0.0,0.0,0.3299999948583758,0.6699999950432695,5.103252092870565e-09,4.918247349405282e-09,3.800818953002903e-11,2.2318047709654196e-10,1.2031340867734667e-19,3.958601952440841e-13,3.634205995098182e-13,8.485085934385476e-15,1.2268350735644116e-17,3.5555913806518837e-14,7.324726697314219e-14,9.652071089479107e-19,8.32809924475938e-20,4.723335451810275e-28,1.9796267316769516e-22,6.000361622228804e-16
8.719707739429297e-09,0.11224537202071803,0.0,0.0,0.0,0.0,0.32999999474201447,0.6699999949262606,5.218697067340859e-09,5.0343347460154245e-09,3.8907146738919716e-11,2.2344492025426933e-10,1.2313548608439724e-19,4.1464479022538076e-13,3.807811408094325e-13,9.096335980593297e-15,1.3119953758722031e-17,3.721283986679351e-14,7.665118325801122e-14,1.0331160976205575e-18,9.124013026590758e-20,5.174743579524618e-28,2.220079132655593e-22,6.287658550587593e-16
8.91267461324665e-09,0.1122453720206453,0.0,0.0,0.0,0.0,0.32999999462565305,0.6699999948092356,5.3341417347826855e-09,5.1504377417748125e-09,3.9806118672666884e-11,2.2369364169745453e-10,1.2606100027306925e-19,4.338613939569851e-13,3.985474952442485e-13,9.736247566365642e-15,1.4010080051912526e-17,3.890723078780673e-14,8.013142155562564e-14,1.104054562895254e-18,9.975002004300586e-20,5.657386926781343e-28,2.4832288039911787e-22,6.581717719755518e-16
9.105641487064002e-09,0.11224537202057092,0.0,0.0,0.0,0.0,0.3299999945092915,0.669999994692196,5.4495860668663975e-09,5.266554606628269e-09,4.0705134401052435e-11,2.239283714654424e-10,1.2888169710631612e-19,4.5350966633738705e-13,4.1671963682725655e-13,1.0405472213085717e-14,1.4939581607078355e-17,4.063903774609781e-14,8.368785326392042e-14,1.1780810870358614e-18,1.0883471304056448e-19,6.172631726617984e-28,2.7706268369230036e-22,6.882540828601668e-16
9.298608360881355e-09,0.11224537202049513,0.0,0.0,0.0,0.0,0.3299999943929299,0.6699999945751434,5.565030100799996e-09,5.38268387162749e-09,4.160415739727076e-11,2.241505784930868e-10,1.3184711770207896e-19,4.735893227718078e-13,4.352975957411184e-13,1.1104660804842492e-14,1.5909310375185122e-17,4.240821121098919e-14,8.732034840347658e-14,1.2552537787720337e-18,1.1851870504401384e-19,6.721864701645652e-28,3.083891197152697e-22,7.190130506610795e-16
9.491575234698708e-09,0.11224537202041815,0.0,0.0,0.0,0.0,0.3299999942765681,0.6699999944580793,5.680473872948083e-09,5.498824201953992e-09,4.250315197727415e-11,2.2436159758664724e-10,1.3429317694634594e-19,4.94100078378228e-13,4.5428140235712164e-13,1.1834463750583888e-14,1.692011845595332e-17,4.4214701326083337e-14,9.10287764099164e-14,1.3356303017624072e-18,1.2882693022588618e-19,7.306506856513986e-28,3.424708444092498e-22,7.504489371749214e-16
9.684542108516061e-09,0.11224537202034006,0.0,0.0,0.0,0.0,0.32999999416020614,0.669999994341005,5.7959173715198146e-09,5.614974338545805e-09,4.340213065315625e-11,2.2456268779656048e-10,1.38013434177349e-19,5.15041603783933e-13,4.736710429870145e-13,1.2595531099965853e-14,1.7972858052042673e-17,4.605845808465699e-14,9.481300649870407e-14,1.4192678945916956e-18,1.3978475695800406e-19,7.927978489240095e-28,3.7948349029603543e-22,7.825619358184432e-16
