Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35)
2.3654369421472687e-09,0.11224537201776617,0.0,0.0,0.0,0.0,0.3299999985736648,0.6699999987319224,1.4170075293439848e-09,1.2587499454533567e-09,9.304923897725231e-12,1.675848471669522e-10,2.94552370384984e-20,2.2339349144065505e-14,2.2462002999654664e-14,1.2265385558915944e-16
2.518919000069173e-09,0.11224537201822046,0.0,0.0,0.0,0.0,0.3299999984811166,0.6699999986434183,1.508838088275955e-09,1.346536361688681e-09,1.0019068517407029e-11,1.7234657477832748e-10,3.171590175849332e-20,2.5779641930980615e-14,2.5931137012120895e-14,1.5149508114027982e-16
2.672401057991077e-09,0.11224537201862873,0.0,0.0,0.0,0.0,0.3299999983885684,0.6699999985545035,1.6006680651080178e-09,1.4347329910746488e-09,1.0733542993885875e-11,1.7669808919197554e-10,3.3977610662477877e-20,2.947213074294735e-14,2.965674601088645e-14,1.8461526793910275e-16
2.8258831159129813e-09,0.1122453720189949,0.0,0.0,0.0,0.0,0.3299999982960202,0.669999998465214,1.6924975777666052e-09,1.5233037687160624e-09,1.1448229602124625e-11,1.806754553029591e-10,3.623999108389673e-20,3.3416614052006906e-14,3.363893091992623e-14,2.2231686791931887e-16
2.9793651738348854e-09,0.1122453720193228,0.0,0.0,0.0,0.0,0.32999999820347203,0.6699999983755829,1.784326700594187e-09,1.6122158012536391e-09,1.2163054238470177e-11,1.8431156647045093e-10,3.8502808442631603e-20,3.761285293051541e-14,3.7877755008596664e-14,2.6490207808124844e-16
3.1328472317567896e-09,0.11224537201961575,0.0,0.0,0.0,0.0,0.32999999811092384,0.6699999982856403,1.8761554788872415e-09,1.7014390881399617e-09,1.2877971870084497e-11,1.8763642324177814e-10,4.0765920184192484e-20,4.20605836476162e-14,4.237325645217882e-14,3.1267280456262297e-16
3.286329289678694e-09,0.11224537201987685,0.0,0.0,0.0,0.0,0.32999999801837565,0.6699999981954133,1.9679839433027054e-09,1.7909462662410868e-09,1.3592952116011215e-11,1.9067738875081057e-10,4.30292301356103e-20,4.6759530151692673e-14,4.712546077878851e-14,3.6593062709581844e-16
3.439811347600598e-09,0.11224537202010884,0.0,0.0,0.0,0.0,0.32999999792582746,0.669999998104927,2.0598121166566167e-09,1.880712377472958e-09,1.4307972442635683e-11,1.9345942108154785e-10,4.5292666965206085e-20,5.1709409960807156e-14,5.2134386743285634e-14,4.2497678247846986e-16
3.593293405522502e-09,0.11224537202031433,0.0,0.0,0.0,0.0,0.32999999783327927,0.6699999980142044,2.151640014718078e-09,1.9707146577146826e-09,1.5023017369035115e-11,1.960052843548365e-10,4.75561816670733e-20,5.69099348502218e-14,5.740004701324379e-14,4.901121630219884e-16
3.746775463444406e-09,0.11224537202049568,0.0,0.0,0.0,0.0,0.3299999977407311,0.6699999979232663,2.2434676468699775e-09,2.0609323443306875e-09,1.5738077805681303e-11,1.9833574120621582e-10,4.9819745467696505e-20,6.23608114244835e-14,6.292244873980414e-14,5.616373153206305e-16
3.9002575213663105e-09,0.11224537202065495,0.0,0.0,0.0,0.0,0.3299999976481829,0.6699999978321313,2.335295018663572e-09,2.1513465001979205e-09,1.645314849764606e-11,2.0046972875871178e-10,5.208334173224565e-20,6.806174333048961e-14,6.870159576478608e-14,6.398524342964569e-16
4.053739579288215e-09,0.11224537202079411,0.0,0.0,0.0,0.0,0.3299999975556346,0.669999997740817,2.427122134226092e-09,2.24193985300464e-09,1.7168225614903236e-11,2.0242451932404634e-10,5.434695833651427e-20,7.401243334319776e-14,7.473749070081903e-14,7.250573576212708e-16
4.207221637210119e-09,0.11224537202091489,0.0,0.0,0.0,0.0,0.32999999746308634,0.6699999976493386,2.5189489969405033e-09,2.3326966488094416e-09,1.788330607198328e-11,2.0421586684361072e-10,5.66105855132401e-20,8.021258395418298e-14,8.103013551863894e-14,8.17551564455936e-16
4.360703695132023e-09,0.11224537202101892,0.0,0.0,0.0,0.0,0.3299999973705381,0.669999997557711,2.610775609152416e-09,2.423602518631759e-09,1.8598387821313816e-11,2.0585814029796326e-10,5.88742167806945e-20,8.666189711725045e-14,8.757953129386578e-14,9.17634176615295e-16
4.6676678109758314e-09,0.1122453720211827,0.0,0.0,0.0,0.0,0.3299999971854416,0.6699999973740595,2.7944280877251625e-09,2.6058102371280913e-09,2.002855073390208e-11,2.0874670821186403e-10,6.34014774604172e-20,1.0030681748913643e-13,1.0144857680550129e-13,1.1417593163648467e-15
4.943935515235259e-09,0.11224537202128622,0.0,0.0,0.0,0.0,0.32999999701885474,0.6699999972083819,2.959714471546036e-09,2.7701871496640313e-09,2.131569494525404e-11,2.1095645328198807e-10,6.747600444329738e-20,1.1343638725310898e-13,1.1480880501146405e-13,1.372417758355068e-15
5.204404705333117e-09,0.11224537202135178,0.0,0.0,0.0,0.0,0.32999999686179415,0.6699999970518924,3.115548134422539e-09,2.925449792741428e-09,2.252922989465303e-11,2.1275412192278678e-10,7.131751719099266e-20,1.2655027570453481e-13,1.2816689452910339e-13,1.6166188245685616e-15
5.464873895430975e-09,0.11224537202139089,0.0,0.0,0.0,0.0,0.3299999967047336,0.6699999968951658,3.271381090015244e-09,3.0809488552973977e-09,2.374275997138121e-11,2.1431537094764175e-10,7.515901451398332e-20,1.4037618325541798e-13,1.4226442985495568e-13,1.8882465995375935e-15
5.7253430855288335e-09,0.11224537202140718,0.0,0.0,0.0,0.0,0.329999996547673,0.669999996738236,3.42721334074499e-09,3.2366501665118423e-09,2.4956284205405267e-11,2.1567437117666315e-10,7.90004933415633e-20,1.549126591094372e-13,1.5710140847632914e-13,2.188749366891937e-15
5.985812275626692e-09,0.11224537202140407,0.0,0.0,0.0,0.0,0.32999999639061234,0.6699999965811326,3.5830448878245197e-09,3.3925244952762937e-09,2.616980283286861e-11,2.1686035371832303e-10,8.284195442126032e-20,1.7015825438560132e-13,1.7267782684614778e-13,2.5195724605464577e-15
6.24628146572455e-09,0.11224537202138435,0.0,0.0,0.0,0.0,0.32999999623355164,0.6699999964238803,3.738875732242108e-09,3.5485468249854006e-09,2.7383316311613666e-11,2.1789833517796997e-10,8.668339920240539e-20,1.8611152296450968e-13,1.8899368123277152e-13,2.882158268261819e-15
6.5067506558224084e-09,0.11224537202135043,0.0,0.0,0.0,0.0,0.3299999960764909,0.6699999962665008,3.894705875505214e-09,3.704695751571677e-09,2.8596824576888528e-11,2.1880971962307896e-10,9.052482748002185e-20,2.0277102212668847e-13,2.0604896836248181e-13,3.277946235793266e-15
6.767219845920267e-09,0.11224537202130437,0.0,0.0,0.0,0.0,0.3299999959194302,0.6699999961090123,4.050535319369402e-09,3.860952970007506e-09,2.9810327312668055e-11,2.196128120812428e-10,9.436623825371066e-20,2.2013531231168972e-13,2.2384368518525372e-13,3.7083728735639626e-15
7.027689036018125e-09,0.11224537202124794,0.0,0.0,0.0,0.0,0.3299999957623694,0.6699999959514306,4.2063640653422515e-09,4.017302825947278e-09,3.1023824448173226e-11,2.203232668980385e-10,9.82076312994159e-20,2.3820295668224133e-13,2.423778284461299e-13,4.1748717638884654e-15
